texto,prioridade
"Olá, Login funciona, mas está lento preciso de uma solução",medio
Urgente: Cálculos incorretos em alguns cenários após a atualização,medio
Estou com um problema: Relatórios apresentando informações incompletas aconteceu agora,medio
Problema: Erro crítico na aplicação o que devo fazer?,alto
Estou com um problema: A autenticação de usuários está completamente inoperante o que devo fazer?,alto
A página de login tem layout confuso mas funcional,baixo
Problema: Algumas imagens não carregam isso está me impedindo de trabalhar,medio
Sistema financeiro fora do ar,alto
"Bom dia, Sistema está instável",medio
Notificações com atraso,medio
Estou com um problema: Alguns usuários relatam problemas no checkout aconteceu agora,medio
Cor do botão incorreta,baixo
O login falha ocasionalmente o que devo fazer?,medio
A página de login tem aparência amadora,baixo
Urgente: Alguns botões não funcionam corretamente,medio
"Bom dia, Erro crítico na aplicação aconteceu agora",alto
Logotipo com baixa resolução o que devo fazer?,baixo
Design péssimo no login isso está me impedindo de trabalhar,baixo
Urgente: Formato de data inconsistente após a atualização,baixo
"O sistema de pagamento está instável, mas funciona",medio
"Problema: Sistema lento para fazer login, mas funciona desde ontem",medio
"Bom dia, Gateway de pagamento não responde o que devo fazer?",alto
"Preciso de ajuda com: Login funciona, mas está lento desde ontem",medio
"Bom dia, Interface do login extremamente feia aconteceu agora",baixo
API principal retornando erro,alto
Verificar: Emails de confirmação não chegando preciso de uma solução,medio
Tradução incompleta em página secundária o que devo fazer?,baixo
Texto truncado em alguns componentes,baixo
Sistema de pagamento processa com atraso,medio
"Olá, Timeout em algumas requisições desde ontem",medio
Preciso de ajuda com: A página de login tem aparência amadora após a atualização,baixo
Preciso de ajuda com: Apenas alguns clientes não conseguem efetuar pagamento por favor me ajudem,medio
A estética da tela de login está ruim,baixo
Estou com um problema: Apenas alguns clientes não conseguem efetuar pagamento o que devo fazer?,medio
Login feio mas funcional,baixo
Problema: Falha intermitente no login desde ontem,medio
Erro de banco de dados crítico,alto
O sistema de autenticação não valida senhas,alto
Login feio demais,baixo
Verificar: Erro de banco de dados crítico preciso de uma solução,alto
"Bom dia, Vazamento de informações sensíveis isso está me impedindo de trabalhar",alto
Relatórios apresentando informações incompletas aconteceu agora,medio
O sistema de autenticação tem design ultrapassado,baixo
Problema: Timeout em algumas requisições o que devo fazer?,medio
Preciso de ajuda com: O design do módulo de autenticação é pouco atraente preciso de uma solução,baixo
Sistema está instável por favor me ajudem,medio
Login com aparência horrível mas que funciona,baixo
"Olá, Cálculos incorretos em alguns cenários o que devo fazer?",medio
Preciso de ajuda com: Erro crítico na aplicação preciso de uma solução,alto
O checkout falha ao finalizar,alto
"Olá, O design do módulo de autenticação é pouco atraente desde ontem",baixo
O sistema está rejeitando todas as transações,alto
Problema: Texto truncado em alguns componentes o que devo fazer?,baixo
Menu com item duplicado,baixo
O botão de pagamento está com cor errada,baixo
Problema: A página de login tem layout confuso mas funcional o que devo fazer?,baixo
"Bom dia, Pesquisa retornando resultados incompletos preciso de uma solução",medio
Preciso de ajuda com: A tela de login é feia,baixo
Verificar: Os botões de pagamento estão com cores que não combinam aconteceu agora,baixo
"Olá, O design do módulo de autenticação é pouco atraente aconteceu agora",baixo
Problema: A tela de login é feia desde ontem,baixo
Preciso de ajuda com: Apenas alguns clientes não conseguem efetuar pagamento o que devo fazer?,medio
O sistema de autenticação falha ao validar credenciais após a atualização,alto
Preciso de ajuda com: O gateway de pagamento retorna erro em todas as transações,alto
Urgente: Erros em algumas transações o que devo fazer?,medio
Preciso de ajuda com: O botão de login tem cor inadequada desde ontem,baixo
"Bom dia, Sistema inoperante na parte de pagamentos o que devo fazer?",alto
Verificar: Login com aparência horrível mas que funciona o que devo fazer?,baixo
"Olá, Não consigo fazer login no sistema após a atualização",alto
Estou com um problema: Não consigo acessar o sistema o que devo fazer?,alto
Estou com um problema: Login feio demais o que devo fazer?,baixo
Login feio mas funcional,baixo
Problema: Fonte muito pequena,baixo
Aparência de login horrível mas operante,baixo
"O sistema de pagamento está instável, mas funciona",medio
API principal retornando erro,alto
"Bom dia, Sistema inoperante na parte de pagamentos desde ontem",alto
Algumas transações estão sendo rejeitadas,medio
"Bom dia, Relatórios apresentando informações incompletas o que devo fazer?",medio
"Olá, Falha intermitente no login aconteceu agora",medio
"Bom dia, Mensagem de erro com texto confuso desde ontem",baixo
Urgente: A aparência da página de checkout não é moderna após a atualização,baixo
"Estou com um problema: UI do login é terrível, mas funciona por favor me ajudem",baixo
Urgente: O botão de compra não responde aos cliques aconteceu agora,alto
Paginação com contador incorreto,baixo
Urgente: Apenas alguns clientes não conseguem efetuar pagamento aconteceu agora,medio
Estou com um problema: Erro de autenticação em todos os acessos desde ontem,alto
O gateway de pagamento retorna erro em todas as transações,alto
Verificar: Não consigo fazer login no sistema,alto
Checkout não funciona de jeito nenhum,alto
Relatórios apresentando informações incompletas,medio
Não consigo fazer login no sistema,alto
Problema: Clientes não conseguem finalizar compras por favor me ajudem,alto
Preciso de ajuda com: Login feio mas funcional,baixo
"Bom dia, O módulo financeiro tem aparência desagradável aconteceu agora",baixo
Falha crítica no servidor,alto
"Bom dia, Os botões de pagamento estão com cores que não combinam após a atualização",baixo
Login quebrado completamente,alto
"Olá, Lentidão no sistema aconteceu agora",medio
"Urgente: Login funciona, mas está lento por favor me ajudem",medio
Problema: Alguns botões não funcionam corretamente preciso de uma solução,medio
"Bom dia, Não consigo fazer login no sistema desde ontem",alto
Validação de formulários com falhas,medio
Checkout por vezes apresenta travamentos por favor me ajudem,medio
"Olá, Lentidão no sistema isso está me impedindo de trabalhar",medio
Problema: Checkout por vezes apresenta travamentos isso está me impedindo de trabalhar,medio
Cálculos incorretos em alguns cenários,medio
Estou com um problema: A autenticação de usuários está completamente inoperante isso está me impedindo de trabalhar,alto
Login terrivelmente feio mas operacional,baixo
O sistema de autenticação não valida senhas,alto
Problema: A tela de login trava ao tentar acessar aconteceu agora,alto
O botão de login tem cor inadequada,baixo
Páginas carregando com atraso,medio
Verificar: A tela de login é feia por favor me ajudem,baixo
Algumas funcionalidades estão lentas,medio
Erro crítico na aplicação,alto
Preciso de ajuda com: Emails de confirmação não chegando isso está me impedindo de trabalhar,medio
"Olá, O login falha ocasionalmente por favor me ajudem",medio
"Olá, Sistema de pagamento não processa transações preciso de uma solução",alto
"O sistema de pagamento está instável, mas funciona",medio
Alguns botões não funcionam corretamente,medio
Erro 500 ao acessar o sistema,alto
Problema: Algumas imagens não carregam aconteceu agora,medio
"Olá, O sistema de autenticação falha ao validar credenciais desde ontem",alto
Verificar: Alguns usuários relatam problemas no checkout desde ontem,medio
Verificar: Timeout em algumas requisições o que devo fazer?,medio
Aplicação está fora do ar,alto
Erro 500 ao acessar o sistema,alto
Falha crítica no servidor isso está me impedindo de trabalhar,alto
Preciso de ajuda com: Tela de pagamento visualmente terrível mas que funciona o que devo fazer?,baixo
Urgente: Notificações com atraso após a atualização,medio
Erros em algumas transações,medio
Lentidão no sistema,medio
Preciso de ajuda com: UI feia no login mas funcional preciso de uma solução,baixo
Preciso de ajuda com: Formato de data inconsistente preciso de uma solução,baixo
Urgente: Algumas transações estão sendo rejeitadas após a atualização,medio
"Bom dia, Parte dos usuários não consegue acessar preciso de uma solução",medio
Preciso de ajuda com: A estética da tela de login está ruim isso está me impedindo de trabalhar,baixo
Urgente: Login terrivelmente feio mas operacional isso está me impedindo de trabalhar,baixo
O sistema de login está fora do ar,alto
Estou com um problema: Algumas transações estão sendo rejeitadas,medio
Problema: Sistema financeiro fora do ar o que devo fazer?,alto
Urgente: Não consigo fazer login no sistema após a atualização,alto
Verificar: Formato de data inconsistente o que devo fazer?,baixo
Verificar: Notificações com atraso o que devo fazer?,medio
Problema: O sistema está rejeitando todas as transações desde ontem,alto
Preciso de ajuda com: Fonte muito pequena por favor me ajudem,baixo
"Bom dia, Cor do botão incorreta por favor me ajudem",baixo
API principal retornando erro,alto
Urgente: Apenas alguns clientes não conseguem efetuar pagamento preciso de uma solução,medio
Algumas transações estão sendo rejeitadas,medio
Erro crítico na aplicação o que devo fazer?,alto
Problema: Atraso no processamento de dados por favor me ajudem,medio
O design do módulo de autenticação é pouco atraente,baixo
Problema: Sistema apresenta erro ocasionalmente,medio
Estou com um problema: Erros em algumas transações preciso de uma solução,medio
Erros em algumas transações,medio
Fonte muito pequena,baixo
Alguns usuários relatando erros,medio
Aplicação está fora do ar,alto
Parte dos usuários não consegue acessar aconteceu agora,medio
"Olá, Alguns usuários relatam problemas no checkout",medio
Texto em idioma errado em página pouco acessada,baixo
Verificar: Performance degradada isso está me impedindo de trabalhar,medio
Preciso de ajuda com: A tela de login não permite acesso após a atualização,alto
Dados de clientes expostos,alto
Imagem de background com qualidade baixa,baixo
Notificações com atraso,medio
O botão de login não funciona por favor me ajudem,alto
"O sistema de pagamento está instável, mas funciona",medio
Lentidão no sistema,medio
Apenas alguns clientes não conseguem efetuar pagamento,medio
Alguns usuários relatam problemas no checkout,medio
O sistema está rejeitando todas as transações desde ontem,alto
"Bom dia, O botão de compra não responde aos cliques aconteceu agora",alto
Erro de banco de dados crítico,alto
Validação de formulários com falhas,medio
Algumas funcionalidades estão lentas,medio
Alguns botões não funcionam corretamente,medio
Apenas alguns clientes não conseguem efetuar pagamento,medio
Problema: Erro de banco de dados crítico o que devo fazer?,alto
Alguns usuários relatam problemas no checkout desde ontem,medio
Alguns usuários relatando erros,medio
Parte dos usuários não consegue acessar,medio
Problema: Erro de ortografia na interface,baixo
"Bom dia, Paginação com contador incorreto",baixo
Estou com um problema: Erro de ortografia na interface isso está me impedindo de trabalhar,baixo
Atraso no processamento de dados,medio
Verificar: Gateway de pagamento não responde o que devo fazer?,alto
"Olá, Paginação com contador incorreto após a atualização",baixo
Preciso de ajuda com: Logotipo com baixa resolução desde ontem,baixo
Urgente: Clientes não conseguem fazer login preciso de uma solução,alto
Urgente: O botão de login tem cor inadequada desde ontem,baixo
Algumas imagens não carregam,medio
Preciso de ajuda com: Apenas alguns clientes não conseguem efetuar pagamento desde ontem,medio
Urgente: Clientes não conseguem fazer login após a atualização,alto
Algumas transações estão sendo rejeitadas,medio
A autenticação de usuários está completamente inoperante,alto
Problema: O sistema de login está fora do ar aconteceu agora,alto
Estou com um problema: Falha intermitente no login,medio
O login falha ocasionalmente,medio
"Olá, Cor do botão incorreta aconteceu agora",baixo
"Olá, Emails de confirmação não chegando após a atualização",medio
"A autenticação funciona, mas com lentidão",medio
Atraso no processamento de dados por favor me ajudem,medio
Sistema de pagamento processa com atraso,medio
"A autenticação funciona, mas com lentidão aconteceu agora",medio
"Olá, O design do módulo de autenticação é pouco atraente",baixo
Verificar: O checkout falha ao finalizar,alto
Algumas transações estão sendo rejeitadas,medio
Verificar: Texto em idioma errado em página pouco acessada aconteceu agora,baixo
Verificar: O formulário de login tem layout desalinhado,baixo
Interface do login extremamente feia,baixo
Urgente: O sistema de autenticação tem design ultrapassado isso está me impedindo de trabalhar,baixo
Menu com item duplicado,baixo
A interface de login tem aparência antiquada,baixo
Verificar: Não consigo fazer login no sistema após a atualização,alto
Problema: Checkout por vezes apresenta travamentos preciso de uma solução,medio
"Bom dia, Login funciona, mas está lento desde ontem",medio
Verificar: O botão de pagamento está com cor errada desde ontem,baixo
"Bom dia, Erros em algumas transações",medio
Estou com um problema: Relatórios apresentando informações incompletas isso está me impedindo de trabalhar,medio
A estética da tela de login está ruim,baixo
Urgente: A autenticação de usuários está completamente inoperante aconteceu agora,alto
"Bom dia, Paginação com contador incorreto",baixo
Preciso de ajuda com: Performance degradada aconteceu agora,medio
Urgente: Vazamento de informações sensíveis preciso de uma solução,alto
Performance degradada,medio
A tela de login não permite acesso preciso de uma solução,alto
"Bom dia, Interface do login extremamente feia isso está me impedindo de trabalhar",baixo
Erro de digitação em mensagem de ajuda,baixo
"Preciso de ajuda com: O sistema de pagamento está instável, mas funciona o que devo fazer?",medio
Validação de formulários com falhas isso está me impedindo de trabalhar,medio
Preciso de ajuda com: Texto em idioma errado em página pouco acessada desde ontem,baixo
Problema: O checkout falha ao finalizar desde ontem,alto
Erro de banco de dados crítico,alto
Cálculos incorretos em alguns cenários,medio
A interface do gateway de pagamento não é atraente,baixo
Problema: Login terrivelmente feio mas operacional preciso de uma solução,baixo
Urgente: Erro crítico na aplicação aconteceu agora,alto
Clientes não conseguem fazer login,alto
Urgente: A estética do sistema de pagamento precisa ser melhorada desde ontem,baixo
Timeout em algumas requisições,medio
Preciso de ajuda com: Os botões de pagamento estão com cores que não combinam isso está me impedindo de trabalhar,baixo
Preciso de ajuda com: Vazamento de informações sensíveis desde ontem,alto
Preciso de ajuda com: Timeout em algumas requisições preciso de uma solução,medio
Design péssimo no login preciso de uma solução,baixo
Clientes não conseguem fazer login,alto
Verificar: Emails de confirmação não chegando,medio
Urgente: Páginas carregando com atraso preciso de uma solução,medio
A autenticação de usuários está completamente inoperante,alto
Erro de ortografia na interface,baixo
Alguns botões não funcionam corretamente,medio
Vazamento de informações sensíveis,alto
Problema: Alguns botões não funcionam corretamente após a atualização,medio
A estética do sistema de pagamento precisa ser melhorada,baixo
"Bom dia, O formulário de login tem layout desalinhado",baixo
Urgente: Relatórios apresentando informações incompletas por favor me ajudem,medio
Preciso de ajuda com: A tela de login trava ao tentar acessar aconteceu agora,alto
"Olá, Erro de digitação em mensagem de ajuda preciso de uma solução",baixo
"Olá, Lentidão no sistema",medio
O sistema de login está fora do ar preciso de uma solução,alto
Preciso de ajuda com: O botão de login tem cor inadequada desde ontem,baixo
Preciso de ajuda com: Notificações com atraso aconteceu agora,medio
"Bom dia, Aparência de login horrível mas operante aconteceu agora",baixo
Urgente: Alguns botões não funcionam corretamente o que devo fazer?,medio
Preciso de ajuda com: Não consigo acessar o sistema desde ontem,alto
Notificações com atraso,medio
Preciso de ajuda com: Sistema apresenta erro ocasionalmente,medio
Problema: O gateway de pagamento retorna erro em todas as transações o que devo fazer?,alto
Algumas funcionalidades estão lentas,medio
Lentidão no sistema,medio
Estou com um problema: Páginas carregando com atraso preciso de uma solução,medio
"Preciso de ajuda com: A autenticação funciona, mas com lentidão o que devo fazer?",medio
Lentidão no sistema,medio
O gateway de pagamento retorna erro em todas as transações,alto
O sistema está rejeitando todas as transações,alto
Verificar: Atraso no processamento de dados desde ontem,medio
"Sistema lento para fazer login, mas funciona",medio
Urgente: Erro 500 ao acessar o sistema após a atualização,alto
Algumas imagens não carregam,medio
Verificar: Páginas carregando com atraso o que devo fazer?,medio
"Olá, Erro 500 ao acessar o sistema desde ontem",alto
Problema: O módulo financeiro não calcula valores corretamente o que devo fazer?,alto
Estou com um problema: Parte dos usuários não consegue acessar o que devo fazer?,medio
Erro de banco de dados crítico,alto
Urgente: O formulário de login tem layout desalinhado preciso de uma solução,baixo
Problema: O módulo financeiro tem aparência desagradável o que devo fazer?,baixo
Problema: Login terrivelmente feio mas operacional isso está me impedindo de trabalhar,baixo
Fonte muito pequena,baixo
O gateway de pagamento retorna erro em todas as transações,alto
Urgente: Erro de autenticação em todos os acessos isso está me impedindo de trabalhar,alto
Preciso de ajuda com: Notificações com atraso isso está me impedindo de trabalhar,medio
O sistema de autenticação falha ao validar credenciais após a atualização,alto
"Bom dia, Sistema está instável aconteceu agora",medio
"Bom dia, Sistema inoperante na parte de pagamentos desde ontem",alto
Estou com um problema: A página de login tem aparência amadora o que devo fazer?,baixo
O sistema de login está fora do ar,alto
"Olá, Algumas transações estão sendo rejeitadas isso está me impedindo de trabalhar",medio
Estou com um problema: O sistema está rejeitando todas as transações isso está me impedindo de trabalhar,alto
Problema: Erro 500 ao acessar o sistema após a atualização,alto
Verificar: Login feio mas funcional o que devo fazer?,baixo
Problema: O checkout falha ao finalizar após a atualização,alto
"Olá, O sistema de login está fora do ar desde ontem",alto
"Bom dia, Login feio mas funcional desde ontem",baixo
Preciso de ajuda com: Relatórios apresentando informações incompletas após a atualização,medio
"Bom dia, Cor do botão incorreta o que devo fazer?",baixo
"Bom dia, O login falha ocasionalmente isso está me impedindo de trabalhar",medio
Interface terrível mas funcional no login,baixo
"Bom dia, Páginas carregando com atraso",medio
Problema: O sistema de autenticação tem design ultrapassado,baixo
Preciso de ajuda com: Aparência de login horrível mas operante,baixo
Preciso de ajuda com: O módulo financeiro tem aparência desagradável aconteceu agora,baixo
A tela de login precisa ser modernizada,baixo
"Olá, O formulário de login está lento",medio
Preciso de ajuda com: Texto truncado em alguns componentes desde ontem,baixo
Erro de banco de dados crítico,alto
Emails de confirmação não chegando desde ontem,medio
"Bom dia, A interface de login tem aparência antiquada o que devo fazer?",baixo
Relatórios apresentando informações incompletas,medio
"Bom dia, Tradução incompleta em página secundária",baixo
Sistema apresenta erro ocasionalmente,medio
Tela de pagamento visualmente terrível mas que funciona,baixo
"Preciso de ajuda com: Login funciona, mas está lento preciso de uma solução",medio
Verificar: O gateway de pagamento retorna erro em todas as transações desde ontem,alto
A autenticação de usuários está completamente inoperante,alto
Problema: O sistema de login está fora do ar o que devo fazer?,alto
Cor do botão incorreta,baixo
Problema: Rodapé com informações desatualizadas,baixo
Estou com um problema: A estética do sistema de pagamento precisa ser melhorada após a atualização,baixo
Urgente: A tela de login não permite acesso o que devo fazer?,alto
Performance degradada,medio
Parte dos usuários não consegue acessar,medio
"Bom dia, O botão de login tem cor inadequada aconteceu agora",baixo
Problema: Sistema não está respondendo,alto
"Bom dia, O módulo financeiro tem aparência desagradável por favor me ajudem",baixo
Problema: Algumas transações estão sendo rejeitadas preciso de uma solução,medio
"Olá, O sistema de login está fora do ar o que devo fazer?",alto
Estou com um problema: Texto truncado em alguns componentes o que devo fazer?,baixo
Falha crítica no servidor,alto
"Bom dia, Login funciona, mas está lento por favor me ajudem",medio
Parte dos usuários não consegue acessar aconteceu agora,medio
"Olá, Login quebrado completamente por favor me ajudem",alto
Estou com um problema: O sistema tem aparência amadora por favor me ajudem,baixo
Vazamento de informações sensíveis,alto
Urgente: Login terrivelmente feio mas operacional preciso de uma solução,baixo
Serviço indisponível,alto
Ícones não padronizados,baixo
Estou com um problema: Gateway de pagamento não responde o que devo fazer?,alto
"Bom dia, Não consigo fazer login no sistema isso está me impedindo de trabalhar",alto
Preciso de ajuda com: A aparência da página de checkout não é moderna isso está me impedindo de trabalhar,baixo
"Olá, Algumas transações estão sendo rejeitadas",medio
Verificar: Tela de pagamento visualmente terrível mas que funciona por favor me ajudem,baixo
Urgente: O botão de login tem cor inadequada por favor me ajudem,baixo
Preciso de ajuda com: Paginação com contador incorreto o que devo fazer?,baixo
Parte dos usuários não consegue acessar aconteceu agora,medio
"Bom dia, A página de login tem aparência amadora por favor me ajudem",baixo
Erros em algumas transações,medio
Gateway de pagamento não responde,alto
Urgente: Alguns usuários relatam problemas no checkout desde ontem,medio
Problema: O módulo financeiro tem aparência desagradável o que devo fazer?,baixo
Parte dos usuários não consegue acessar,medio
"Olá, Login funciona, mas está lento isso está me impedindo de trabalhar",medio
"Bom dia, Alguns botões não funcionam corretamente aconteceu agora",medio
Preciso de ajuda com: Timeout em algumas requisições,medio
Apenas alguns clientes não conseguem efetuar pagamento,medio
"Bom dia, Layout desalinhado isso está me impedindo de trabalhar",baixo
Preciso de ajuda com: Clientes não conseguem finalizar compras,alto
"Bom dia, Vazamento de informações sensíveis o que devo fazer?",alto
"Bom dia, O botão de pagamento está com cor errada por favor me ajudem",baixo
Interface terrível mas funcional no login,baixo
Estou com um problema: Não consigo fazer login no sistema desde ontem,alto
Clientes não conseguem fazer login,alto
O design está ultrapassado,baixo
Aparência de login horrível mas operante,baixo
Erro de banco de dados crítico,alto
Sistema não está respondendo,alto
Urgente: Interface terrível mas funcional no login por favor me ajudem,baixo
Preciso de ajuda com: Login com aparência horrível mas que funciona isso está me impedindo de trabalhar,baixo
"Olá, Notificações com atraso após a atualização",medio
Urgente: Falha crítica no servidor,alto
"Olá, Páginas carregando com atraso o que devo fazer?",medio
Relatórios apresentando informações incompletas,medio
"Bom dia, A paleta de cores não é atraente após a atualização",baixo
Login extremamente feio,baixo
O formulário de login está lento o que devo fazer?,medio
A autenticação de usuários está completamente inoperante por favor me ajudem,alto
Urgente: Checkout não funciona de jeito nenhum preciso de uma solução,alto
Sistema de pagamento processa com atraso,medio
Preciso de ajuda com: Performance degradada após a atualização,medio
O formulário de login está lento,medio
Formato de data inconsistente,baixo
Login feio demais,baixo
A autenticação de usuários está completamente inoperante aconteceu agora,alto
Estou com um problema: Sistema inoperante na parte de pagamentos preciso de uma solução,alto
Estou com um problema: O módulo financeiro não calcula valores corretamente por favor me ajudem,alto
Preciso de ajuda com: A interface do gateway de pagamento não é atraente após a atualização,baixo
Verificar: Clientes não conseguem finalizar compras por favor me ajudem,alto
O formulário de autenticação tem design pouco profissional,baixo
Apenas alguns clientes não conseguem efetuar pagamento,medio
Imagem de background com qualidade baixa,baixo
Estou com um problema: O módulo financeiro não calcula valores corretamente,alto
"Olá, Os campos do formulário de login têm tamanho desproporcional o que devo fazer?",baixo
Urgente: Sistema está instável o que devo fazer?,medio
Verificar: O formulário de login tem layout desalinhado preciso de uma solução,baixo
O sistema de autenticação tem design ultrapassado,baixo
Rodapé com informações desatualizadas preciso de uma solução,baixo
Lentidão no sistema,medio
Estou com um problema: Timeout em algumas requisições o que devo fazer?,medio
Login feio demais,baixo
A paleta de cores não é atraente,baixo
Estou com um problema: Não consigo acessar o sistema isso está me impedindo de trabalhar,alto
Preciso de ajuda com: Imagem de background com qualidade baixa preciso de uma solução,baixo
"Sistema lento para fazer login, mas funciona",medio
Preciso de ajuda com: Checkout não funciona de jeito nenhum por favor me ajudem,alto
"Bom dia, Erros em algumas transações aconteceu agora",medio
"Bom dia, Login funciona, mas está lento o que devo fazer?",medio
Validação de formulários com falhas preciso de uma solução,medio
Tela de pagamento visualmente terrível mas que funciona,baixo
Preciso de ajuda com: O visual do sistema de autenticação é antiquado o que devo fazer?,baixo
A tela de login é feia,baixo
Problema: Performance degradada aconteceu agora,medio
Estou com um problema: Aplicação está fora do ar após a atualização,alto
Relatórios apresentando informações incompletas,medio
Estou com um problema: Falha crítica no servidor após a atualização,alto
Tela de pagamento visualmente terrível mas que funciona,baixo
"Bom dia, Texto truncado em alguns componentes aconteceu agora",baixo
O botão de compra não responde aos cliques,alto
Estou com um problema: Não consigo acessar o sistema isso está me impedindo de trabalhar,alto
Urgente: Clientes não conseguem finalizar compras o que devo fazer?,alto
O sistema está rejeitando todas as transações,alto
Problema: Texto truncado em alguns componentes o que devo fazer?,baixo
O checkout falha ao finalizar,alto
O formulário de login está um pouco lento,medio
Tradução incompleta em página secundária,baixo
Estou com um problema: Dados de clientes expostos aconteceu agora,alto
Urgente: Mensagem de erro com texto confuso desde ontem,baixo
O gateway de pagamento retorna erro em todas as transações,alto
Verificar: Aplicação está fora do ar isso está me impedindo de trabalhar,alto
Problema: A autenticação de usuários está completamente inoperante por favor me ajudem,alto
Mensagem de erro com texto confuso isso está me impedindo de trabalhar,baixo
"Olá, Algumas imagens não carregam por favor me ajudem",medio
Preciso de ajuda com: Apenas alguns clientes não conseguem efetuar pagamento após a atualização,medio
Texto truncado em alguns componentes,baixo
Sistema está instável,medio
Urgente: Parte dos usuários não consegue acessar por favor me ajudem,medio
Estou com um problema: O pagamento não é processado por favor me ajudem,alto
Urgente: O design está ultrapassado o que devo fazer?,baixo
"Urgente: Sistema lento para fazer login, mas funciona o que devo fazer?",medio
Design péssimo no login,baixo
O sistema está rejeitando todas as transações,alto
"Bom dia, Apenas alguns clientes não conseguem efetuar pagamento aconteceu agora",medio
O sistema de autenticação falha ao validar credenciais aconteceu agora,alto
O botão de login não funciona,alto
Preciso de ajuda com: Validação de formulários com falhas desde ontem,medio
Problema: Timeout em algumas requisições após a atualização,medio
"Olá, A paleta de cores não é atraente isso está me impedindo de trabalhar",baixo
Timeout em algumas requisições,medio
Verificar: Emails de confirmação não chegando isso está me impedindo de trabalhar,medio
Urgente: A estética da tela de login está ruim após a atualização,baixo
Espaçamento incorreto entre elementos,baixo
Vazamento de informações sensíveis,alto
O módulo financeiro tem aparência desagradável,baixo
Estou com um problema: Sistema de pagamento não processa transações isso está me impedindo de trabalhar,alto
Verificar: Alguns usuários relatam problemas no checkout,medio
Verificar: O botão de compra não responde aos cliques o que devo fazer?,alto
Espaçamento incorreto entre elementos,baixo
"Bom dia, Sistema está instável desde ontem",medio
Estou com um problema: Timeout em algumas requisições após a atualização,medio
Sistema está instável,medio
Ícones não padronizados,baixo
Falha intermitente no login,medio
Estou com um problema: Não consigo fazer login no sistema preciso de uma solução,alto
Urgente: Imagem de background com qualidade baixa por favor me ajudem,baixo
Urgente: O checkout falha ao finalizar após a atualização,alto
Estou com um problema: Parte dos usuários não consegue acessar,medio
O formulário de login está lento,medio
A tela de login trava ao tentar acessar,alto
Verificar: O gateway de pagamento retorna erro em todas as transações o que devo fazer?,alto
O sistema está rejeitando todas as transações preciso de uma solução,alto
Problema: Não consigo fazer login no sistema desde ontem,alto
Paginação com contador incorreto,baixo
Notificações com atraso,medio
A tela de login é feia,baixo
Problema: Vazamento de informações sensíveis o que devo fazer?,alto
Estou com um problema: Algumas imagens não carregam após a atualização,medio
Problema: Alguns botões não funcionam corretamente preciso de uma solução,medio
